SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-unf01,6819,4318,12622,2.625,0.680,0.112,0.026,55,7.2
sub-unf02,8318,5145,15339,2.734,0.568,0.101,0.021,60,6.8
sub-unf03,8566,5407,16027,2.713,0.586,0.097,0.016,61,5.8
sub-unf04,8238,5028,15936,2.899,0.705,0.099,0.022,64,7.5
sub-unf05,6805,4288,12927,2.764,0.597,0.099,0.019,48,5.2
sub-unf06,8511,5318,15002,2.601,0.542,0.102,0.019,65,6.6
sub-unf07,9020,5798,18441,2.845,0.586,0.102,0.019,67,6.9
sub-vallHebron01,9509,6109,17431,2.615,0.589,0.112,0.025,76,9.7
sub-vallHebron02,7324,5002,14115,2.620,0.507,0.117,0.028,62,8.6
sub-vallHebron03,7332,4951,14723,2.718,0.521,0.115,0.028,63,8.1
sub-vallHebron04,7741,4903,14508,2.741,0.547,0.107,0.025,60,7.8
sub-vallHebron05,7123,4571,13735,2.728,0.538,0.106,0.023,53,7.0
sub-vallHebron06,7908,4917,13076,2.495,0.559,0.113,0.027,61,8.9
sub-vallHebron07,8122,5156,15268,2.731,0.597,0.107,0.025,59,8.8
sub-vuiisAchieva01,7048,4420,12356,2.492,0.569,0.100,0.020,47,6.1
sub-vuiisAchieva02,9260,5996,17379,2.620,0.528,0.100,0.019,62,7.3
sub-vuiisAchieva03,7298,4793,13504,2.552,0.520,0.109,0.025,58,7.2
sub-vuiisAchieva04,7414,4909,14758,2.728,0.630,0.108,0.022,59,6.9
sub-vuiisAchieva05,5934,4086,12022,2.619,0.554,0.116,0.026,50,6.4
sub-vuiisAchieva06,7686,5240,14489,2.487,0.496,0.110,0.021,68,6.8
sub-vuiisIngenia01,6529,4281,13174,2.804,0.610,0.104,0.021,45,5.7
sub-vuiisIngenia02,6768,4463,12822,2.663,0.561,0.108,0.022,50,6.0
sub-vuiisIngenia03,6510,4393,13324,2.733,0.630,0.111,0.023,54,6.0
sub-vuiisIngenia04,7164,4645,12662,2.506,0.594,0.103,0.020,51,5.9
sub-vuiisIngenia05,11114,7000,16972,2.267,0.708,0.111,0.026,87,11.7
sub-vuiisIngenia06,7172,4527,12871,2.570,0.740,0.103,0.023,48,6.7
