SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-vallHebron04,7531,4923,13957,2.611,0.543,0.111,0.024,61,7.7
sub-vallHebron05,7164,4675,13019,2.574,0.558,0.113,0.025,60,7.7
sub-vallHebron06,6421,4303,11339,2.483,0.519,0.114,0.025,50,6.8
sub-vallHebron07,7495,4947,13857,2.604,0.523,0.105,0.023,50,7.6
sub-vuiisAchieva01,7020,4484,12275,2.463,0.596,0.100,0.019,46,5.8
sub-vuiisAchieva02,8320,5483,15169,2.565,0.539,0.107,0.022,63,7.8
sub-vuiisAchieva03,7181,4806,13318,2.529,0.564,0.110,0.023,66,6.8
sub-vuiisAchieva04,6846,4552,13600,2.733,0.598,0.107,0.022,51,6.2
sub-vuiisAchieva05,6442,4267,11873,2.575,0.501,0.113,0.023,54,6.5
sub-vuiisAchieva06,7744,5267,14903,2.532,0.562,0.109,0.020,61,6.7
sub-vuiisIngenia01,6273,4272,12726,2.726,0.606,0.112,0.024,49,6.1
sub-vuiisIngenia02,6493,4333,12626,2.655,0.541,0.108,0.021,49,5.9
sub-vuiisIngenia03,6564,4540,13546,2.731,0.591,0.116,0.024,56,6.7
sub-vuiisIngenia04,7475,4928,13265,2.474,0.514,0.109,0.022,57,6.9
sub-vuiisIngenia05,7644,4870,13114,2.466,0.695,0.111,0.025,58,7.9
sub-vuiisIngenia06,8294,5405,14013,2.427,0.690,0.112,0.023,64,7.8
